group,status,lca_node,member_count,extra_nodes,missing_nodes,subgroups,extra_count,missing_count,polytomy_details
CAIXOA01,monophyletic,internal_18,8,,,,0,0,
CAIXYX01,monophyletic,internal_17,7,,,,0,0,
CAIYYO01,monophyletic,internal_13,4,,,,0,0,
CAKZRD01,monophyletic,internal_28,9,,,,0,0,
CAKZTQ01,monophyletic,internal_15,2,,,,0,0,
CALBHZ01,monophyletic,internal_19,2,,,,0,0,
CALCXY01,monophyletic,internal_25,2,,,,0,0,
CALHIW01,monophyletic,internal_14,2,,,,0,0,
CALHPJ01,monophyletic,internal_23,2,,,,0,0,
CALIKS01,monophyletic,internal_19,3,,,,0,0,
CALIKW01,monophyletic,internal_19,6,,,,0,0,
CALIRQ01,monophyletic,internal_18,4,,,,0,0,
CAMAVK01,monophyletic,internal_28,3,,,,0,0,
CAUZSM01,monophyletic,internal_22,2,,,,0,0,
CAUZSY01,monophyletic,internal_23,2,,,,0,0,
CAVPLU01,monophyletic,internal_24,10,,,,0,0,
CAVXDP01,monophyletic,internal_24,5,,,,0,0,
CAVZKK01,monophyletic,internal_30,3,,,,0,0,
CAWBDD01,monophyletic,internal_27,3,,,,0,0,
CAWBKV01,monophyletic,internal_21,3,,,,0,0,
CAWJYS01,monophyletic,internal_23,2,,,,0,0,
CAXGTL01,monophyletic,internal_20,4,,,,0,0,
CAYFFD01,monophyletic,internal_33,3,,,,0,0,
CAYFFZ01,monophyletic,internal_22,9,,,,0,0,
CAYFJV01,monophyletic,internal_21,3,,,,0,0,
CAYFNK01,monophyletic,internal_18,5,,,,0,0,
CAYFZR01,monophyletic,internal_7,2,,,,0,0,
CAYGAG01,monophyletic,internal_27,2,,,,0,0,
CAYGAM01,monophyletic,internal_34,2,,,,0,0,
CAYGVX01,monophyletic,internal_30,4,,,,0,0,
CAYGXM01,monophyletic,internal_14,2,,,,0,0,
CAYIBE01,monophyletic,internal_21,2,,,,0,0,
CAYJXA01,monophyletic,internal_24,2,,,,0,0,
CAYJXC01,monophyletic,internal_22,3,,,,0,0,
CAYLJD01,monophyletic,internal_31,3,,,,0,0,
CAYLJV01,monophyletic,internal_12,7,,,,0,0,
CAYLMJ01,monophyletic,internal_18,2,,,,0,0,
CAYMDJ01,monophyletic,internal_23,2,,,,0,0,
CAYMED01,monophyletic,internal_18,2,,,,0,0,
CAYMNU01,monophyletic,internal_7,2,,,,0,0,
CAYMPW01,monophyletic,internal_31,2,,,,0,0,
CAYNJW01,monophyletic,internal_26,2,,,,0,0,
CAYNLP01,monophyletic,internal_25,2,,,,0,0,
CAYNOZ01,monophyletic,internal_11,2,,,,0,0,
CAYNTH01,monophyletic,internal_20,3,,,,0,0,
CAYOZM01,monophyletic,internal_24,2,,,,0,0,
CAYPBR01,monophyletic,internal_33,2,,,,0,0,
CAYRBK01,monophyletic,internal_25,2,,,,0,0,
CAYREE01,monophyletic,internal_15,2,,,,0,0,
CAYSJP01,monophyletic,internal_18,2,,,,0,0,
CAYSTL01,monophyletic,internal_25,3,,,,0,0,
CAYSVS01,monophyletic,internal_22,3,,,,0,0,
CAYTGG01,monophyletic,internal_35,2,,,,0,0,
CAYTWW01,monophyletic,internal_24,2,,,,0,0,
CAYVGP01,monophyletic,internal_24,2,,,,0,0,
CAYVLA01,monophyletic,internal_12,2,,,,0,0,
CAYVTJ01,monophyletic,internal_24,2,,,,0,0,
CAYWRD01,monophyletic,internal_34,2,,,,0,0,
CAYWXE01,monophyletic,internal_19,2,,,,0,0,
CAYWZG01,monophyletic,internal_18,2,,,,0,0,
CAYWZQ01,monophyletic,internal_16,2,,,,0,0,
CAYXFE01,monophyletic,internal_22,2,,,,0,0,
CAYXGD01,monophyletic,internal_15,2,,,,0,0,
CAYXRT01,monophyletic,internal_19,2,,,,0,0,
CAYXTQ01,monophyletic,internal_24,2,,,,0,0,
CAYXZQ01,monophyletic,internal_20,4,,,,0,0,
CAYYYJ01,monophyletic,internal_15,2,,,,0,0,
CAYZNE01,monophyletic,internal_27,4,,,,0,0,
CAYZRH01,monophyletic,internal_23,2,,,,0,0,
CAYZTD01,monophyletic,internal_25,5,,,,0,0,
CAYZUE01,monophyletic,internal_15,2,,,,0,0,
CAYZVU01,monophyletic,internal_34,2,,,,0,0,
CAZAGO01,monophyletic,internal_30,2,,,,0,0,
CAZAMI01,monophyletic,internal_24,4,,,,0,0,
CAZBGG01,monophyletic,internal_23,4,,,,0,0,
CAZCGS01,monophyletic,internal_10,2,,,,0,0,
CAZCRE01,monophyletic,internal_38,2,,,,0,0,
CAZCYF01,monophyletic,internal_15,2,,,,0,0,
CAZEAB01,monophyletic,internal_26,2,,,,0,0,
CAZESS01,monophyletic,internal_19,5,,,,0,0,
CAZFMU01,monophyletic,internal_18,5,,,,0,0,
CAZFVC01,monophyletic,internal_25,2,,,,0,0,
CAZFVW01,monophyletic,internal_24,2,,,,0,0,
CAZFWY01,monophyletic,internal_21,2,,,,0,0,
CAZHDB01,monophyletic,internal_22,4,,,,0,0,
CAZHMB01,monophyletic,internal_36,2,,,,0,0,
CAZHUM01,monophyletic,internal_26,2,,,,0,0,
CAZHUN01,monophyletic,internal_19,2,,,,0,0,
CAZJDG01,monophyletic,internal_32,2,,,,0,0,
CAZJJJ01,monophyletic,internal_22,6,,,,0,0,
CAZKUB01,monophyletic,internal_30,3,,,,0,0,
CAZLQA01,monophyletic,internal_34,2,,,,0,0,
CAZMLQ01,monophyletic,internal_26,5,,,,0,0,
CAZMUQ01,monophyletic,internal_20,2,,,,0,0,
CAZMWG01,monophyletic,internal_27,2,,,,0,0,
CAZMYQ01,monophyletic,internal_9,2,,,,0,0,
CAZNLD01,monophyletic,internal_6,2,,,,0,0,
CAZQBY01,monophyletic,internal_8,3,,,,0,0,
CAZQLW01,monophyletic,internal_23,2,,,,0,0,
CAZSRE01,monophyletic,internal_14,2,,,,0,0,
CAZUUD01,monophyletic,internal_11,2,,,,0,0,
CAZUXP01,monophyletic,internal_24,2,,,,0,0,
CAZVPZ01,monophyletic,internal_14,2,,,,0,0,
CAZWNN01,monophyletic,internal_25,2,,,,0,0,
CAZXER01,monophyletic,internal_16,2,,,,0,0,
CAZYPB01,monophyletic,internal_17,2,,,,0,0,
CAZZLT01,monophyletic,internal_22,2,,,,0,0,
CAZZNM01,monophyletic,internal_18,2,,,,0,0,
CBFCXS01,monophyletic,internal_20,2,,,,0,0,
CG-Epi1,monophyletic,internal_20,32,,,,0,0,
CG07-land,monophyletic,internal_13,2,,,,0,0,
